Date,Rainfall_mm,Humidity_pct,Temperature_C,Soil_Moisture,Wind_Speed_ms,Atmospheric_Pressure_kPa,Rainfall_3day,Flood_Risk_Index
2004-01-01,0.34,74.34,26.73,0.55,5.59,99.75,0.34,19.21
2004-01-02,0.02,72.01,26.62,0.55,5.74,99.77,0.36000000000000004,18.13
2004-01-03,0.0,69.07,26.36,0.54,6.15,99.81,0.36000000000000004,16.35
2004-01-04,0.02,71.96,26.73,0.53,4.96,99.8,0.04,16.54
2004-01-05,0.23,75.46,26.7,0.53,5.17,99.82,0.25,18.01
2004-01-06,0.16,72.98,26.74,0.53,5.46,99.78,0.41000000000000003,17.47
2004-01-07,0.26,73.25,27.14,0.52,6.28,99.75,0.65,17.9
2004-01-08,0.37,74.68,26.59,0.52,7.61,99.8,0.79,18.82
2004-01-09,2.36,76.89,26.76,0.51,7.32,99.76,2.9899999999999998,19.86
2004-01-10,5.13,78.7,26.75,0.51,7.55,99.75,7.859999999999999,21.6
2004-01-11,1.86,75.23,26.53,0.51,7.31,99.77,9.35,20.07
2004-01-12,0.02,73.0,26.81,0.51,5.43,99.78,7.01,17.65
2004-01-13,0.59,72.86,26.92,0.5,6.43,99.67,2.47,17.92
2004-01-14,0.15,72.45,27.31,0.5,5.62,99.57,0.76,17.88
2004-01-15,0.08,72.52,27.55,0.5,4.72,99.62,0.82,17.01
2004-01-16,0.01,71.38,27.42,0.49,5.26,99.74,0.24,15.3
2004-01-17,0.0,68.07,27.19,0.49,4.72,99.68,0.09,14.09
2004-01-18,0.0,67.72,26.79,0.48,4.29,99.67,0.01,13.35
2004-01-19,0.0,61.64,26.88,0.48,3.55,99.61,0.0,10.88
2004-01-20,0.0,62.84,27.12,0.48,3.21,99.57,0.0,11.54
2004-01-21,0.0,64.08,27.29,0.47,2.6,99.48,0.0,12.07
2004-01-22,0.02,66.49,27.57,0.47,2.78,99.47,0.02,13.27
2004-01-23,0.91,71.36,27.56,0.47,3.1,99.47,0.93,15.65
2004-01-24,5.25,76.17,27.56,0.47,3.37,99.37,6.18,19.5
2004-01-25,4.02,77.46,27.57,0.47,3.11,99.49,10.18,19.53
2004-01-26,1.3,77.33,26.83,0.47,2.51,99.62,10.57,18.12
2004-01-27,0.66,73.7,27.56,0.47,1.67,99.53,5.9799999999999995,16.16
2004-01-28,0.87,68.06,28.02,0.47,2.16,99.45,2.83,14.21
2004-01-29,0.32,66.26,27.87,0.46,2.71,99.49,1.85,12.83
2004-01-30,0.0,64.33,27.87,0.46,3.88,99.53,1.19,12.21
2004-01-31,0.04,64.46,27.89,0.46,3.12,99.53,0.36,11.72
2004-02-01,0.04,68.87,27.82,0.45,1.63,99.42,0.08,13.24
2004-02-02,0.1,69.45,27.5,0.45,2.18,99.48,0.18,13.3
2004-02-03,0.97,69.1,28.45,0.45,3.65,99.52,1.1099999999999999,13.75
2004-02-04,0.53,72.98,27.86,0.45,4.52,99.56,1.6,15.61
2004-02-05,0.19,70.31,28.34,0.44,4.25,99.6,1.6900000000000002,13.59
2004-02-06,0.21,66.8,28.65,0.44,2.88,99.71,0.93,10.32
2004-02-07,3.09,68.14,28.35,0.44,1.71,99.9,3.4899999999999998,9.06
2004-02-08,4.92,70.71,27.69,0.44,2.41,99.92,8.219999999999999,11.1
2004-02-09,0.05,64.55,28.43,0.44,3.57,99.82,8.059999999999999,9.93
2004-02-10,0.23,63.91,28.23,0.44,4.36,99.84,5.2,9.47
2004-02-11,0.04,65.42,28.25,0.44,4.05,99.86,0.32,9.01
2004-02-12,0.17,67.41,28.52,0.43,4.33,99.81,0.44000000000000006,10.02
2004-02-13,0.96,69.08,28.24,0.43,5.65,99.68,1.17,12.65
2004-02-14,0.72,68.1,27.91,0.43,6.79,99.61,1.8499999999999999,13.54
2004-02-15,0.4,68.23,27.99,0.43,6.42,99.6,2.08,13.52
2004-02-16,0.02,63.39,28.25,0.42,6.27,99.65,1.14,10.39
2004-02-17,0.0,62.83,27.5,0.42,4.4,99.56,0.42000000000000004,9.79
2004-02-18,0.0,63.07,27.19,0.42,4.17,99.55,0.02,9.79
2004-02-19,0.0,58.09,27.2,0.42,4.37,99.59,0.0,7.45
2004-02-20,0.0,57.8,27.03,0.42,4.84,99.65,0.0,7.07
