Date,Rainfall_mm,Humidity_pct,Temperature_C,Soil_Moisture,Wind_Speed_ms,Atmospheric_Pressure_kPa
1/1/2025,14.9,87.38,25.9,0.83,6.01,99.6
1/2/2025,4.42,84.73,25.4,0.82,6.09,99.65
1/3/2025,0.52,83.5,25.26,0.81,6.39,99.64
1/4/2025,0.11,81.47,25.43,0.8,4.75,99.63
1/5/2025,0.2,79.54,25.58,0.79,4.39,99.71
1/6/2025,0.02,82.25,25.56,0.79,4.78,99.67
1/7/2025,0.04,84.18,25.87,0.78,3.85,99.62
1/8/2025,0.52,84.44,25.86,0.78,4.72,99.6
1/9/2025,1.88,84.15,26.06,0.77,5.08,99.63
1/10/2025,3.24,87.11,26.1,0.78,5.63,99.72
1/11/2025,9.82,87.02,26.23,0.78,6.09,99.71
1/12/2025,16.22,87.27,25.95,0.8,4.65,99.62
1/13/2025,3.23,87.23,25.97,0.79,4.04,99.53
1/14/2025,12.5,88.34,25.53,0.81,4.2,99.6
1/15/2025,4.49,87.98,25.58,0.8,4.4,99.69
1/16/2025,2.91,87.49,25.14,0.79,5.88,99.68
1/17/2025,0.23,84.06,25.29,0.78,6.25,99.57
1/18/2025,14.18,88.36,25.26,0.8,5.32,99.46
1/19/2025,21.04,90.93,25.33,0.84,6.62,99.4
1/20/2025,2.33,86.6,25.58,0.8,4.95,99.49
1/21/2025,2.81,86.8,25.88,0.79,5.79,99.42
1/22/2025,6.19,88.84,25.59,0.8,4.83,99.44
1/23/2025,2.86,84.12,25.65,0.79,5.1,99.45
1/24/2025,5.92,83.17,25.26,0.79,4.66,99.45
1/25/2025,1.99,87.9,24.72,0.79,5.09,99.51
1/26/2025,0.19,85.06,25.1,0.79,5.76,99.48
1/27/2025,0.94,82.2,24.75,0.78,4.93,99.49
1/28/2025,2.43,82.96,23.6,0.79,4.76,99.6
1/29/2025,9.27,87.53,23.96,0.79,5.48,99.65
1/30/2025,10.67,87.83,26.65,0.81,3.42,99.48
1/31/2025,5.95,87.05,26.85,0.8,2.8,99.45
2/1/2025,3.09,83.58,26.48,0.79,3.74,99.57
2/2/2025,0.37,81.19,26.3,0.77,3.85,99.62
2/3/2025,0.16,79.56,25.98,0.77,3.9,99.67
2/4/2025,0.06,78.64,25.51,0.76,4.04,99.65
2/5/2025,0.53,82.01,25.8,0.76,3.65,99.57
2/6/2025,0.08,80.46,25.97,0.75,3.79,99.54
2/7/2025,0.01,80.44,25.06,0.74,4.84,99.67
2/8/2025,0,78.98,24.94,0.73,5.45,99.65
2/9/2025,0,79.36,24.82,0.73,5.55,99.63
2/10/2025,0,79.59,25.09,0.72,4.62,99.71
2/11/2025,0.03,82.32,26.16,0.71,4.64,99.75
2/12/2025,0.01,81.97,26.29,0.71,4.79,99.71
2/13/2025,0,79.13,25.46,0.7,4.26,99.73
2/14/2025,0,78.4,25.12,0.69,2.81,99.76
2/15/2025,0.02,74.7,25.46,0.69,3.57,99.67
2/16/2025,0.05,76.13,26.12,0.68,2.94,99.67
2/17/2025,0.11,78.87,26.32,0.67,4,99.78
2/18/2025,0.16,77.53,26.28,0.66,4.03,99.77
2/19/2025,0.07,73.89,26.33,0.65,2.91,99.65
2/20/2025,0.06,73.21,26.64,0.64,2.55,99.71
2/21/2025,0.06,74.75,26.77,0.63,2.74,99.78
2/22/2025,0.04,75.72,26.48,0.62,3,99.84
2/23/2025,0.02,77.33,26.28,0.61,4.09,99.85
2/24/2025,0.07,77.65,26.45,0.6,5.22,99.79
2/25/2025,3.85,82.64,26.84,0.61,5.68,99.78
2/26/2025,10.88,83.36,27.24,0.63,5.26,99.72
2/27/2025,8.41,85.4,27.07,0.67,4.47,99.55
2/28/2025,21,87.01,27.4,0.7,2.97,99.51
3/1/2025,27.91,88.35,26.87,0.76,3.45,99.46
3/2/2025,55.06,83.73,26.89,0.84,2.3,99.52
3/3/2025,10.56,84.48,26.67,0.78,3.22,99.57
3/4/2025,0.36,79.11,26.87,0.74,2.79,99.56
3/5/2025,0.05,73.89,27.59,0.72,1.89,99.62
3/6/2025,0.19,73.97,27.11,0.71,2.14,99.69
3/7/2025,0,66.36,26.53,0.7,2.14,99.6
3/8/2025,0,72.36,26.4,0.69,2.53,99.52
3/9/2025,0.06,68.06,26.04,0.68,3.01,99.5
3/10/2025,5.89,83.51,26.32,0.7,4.39,99.57
3/11/2025,53.54,89.61,26.07,0.81,3.73,99.54
3/12/2025,3.36,77.51,26.92,0.75,2.42,99.62
3/13/2025,3.75,80.39,27.52,0.74,1.95,99.56
3/14/2025,5.6,82.38,27.18,0.75,1.72,99.6
3/15/2025,4.11,80.78,27.43,0.74,1.6,99.65
3/16/2025,8.25,78.46,27.43,0.75,0.99,99.68
3/17/2025,8.79,80.63,27.49,0.76,2.38,99.64
3/18/2025,5.22,81.05,27.48,0.75,2.03,99.63
3/19/2025,6.69,83.1,27.56,0.76,1.95,99.78
3/20/2025,0.81,77.38,27.92,0.73,2.38,99.83
3/21/2025,7.53,78.8,28.16,0.74,2,99.82
3/22/2025,7.12,78.28,28.27,0.75,2.02,99.78
3/23/2025,1.82,77.03,27.94,0.73,2.36,99.74
3/24/2025,2.22,78.72,27.83,0.72,3.29,99.65
3/25/2025,9.44,80.41,28,0.73,3.27,99.47
3/26/2025,13.31,71.72,27.39,0.76,2.05,99.49
3/27/2025,5.95,80.35,27.22,0.74,2.2,99.48
3/28/2025,1.71,78.32,27.43,0.73,1.72,99.4
3/29/2025,5.65,76.97,27.85,0.73,2.36,99.37
3/30/2025,0.72,69.11,28.11,0.71,1.39,99.44
3/31/2025,1.13,76.22,27.71,0.7,2.3,99.51
4/1/2025,10.79,82.48,27.14,0.73,1.92,99.43
4/2/2025,11.45,82.01,27.06,0.76,1.05,99.54
4/3/2025,19.1,80.04,27.62,0.77,2.24,99.63
4/4/2025,41.75,72.69,27.85,0.81,1.75,99.68
4/5/2025,11.4,84.42,26.98,0.81,2.63,99.61
4/6/2025,15.22,84.99,27.37,0.8,2.86,99.56
4/7/2025,12.27,86.92,27.33,0.81,2.97,99.56
4/8/2025,11.22,86.29,27.44,0.81,2.3,99.66
4/9/2025,7.76,87.19,26.79,0.8,4.91,99.66
4/10/2025,8.44,83.24,27.47,0.8,4.3,99.5
4/11/2025,7.05,84.61,27.44,0.8,5.46,99.54
4/12/2025,2.79,85.48,27.42,0.79,4.9,99.53
4/13/2025,3.38,85.84,27.55,0.79,3.77,99.53
4/14/2025,8.37,86.72,27.63,0.8,2.66,99.48
4/15/2025,6.86,83.3,27.71,0.8,1.96,99.48
4/16/2025,3.07,87.26,27.23,0.79,2.7,99.54
4/17/2025,0.65,86.16,27.41,0.79,2.37,99.49
4/18/2025,2.52,85.9,27.58,0.78,3.85,99.49
4/19/2025,2.35,85.09,27.62,0.78,4.31,99.47
4/20/2025,4.07,84.9,27.81,0.78,3.88,99.47
4/21/2025,6.77,87.22,27.6,0.79,3.48,99.56
4/22/2025,8.1,85.88,27.18,0.79,2.42,99.69
4/23/2025,7.77,87.81,26.88,0.79,3.21,99.6
4/24/2025,6.61,87.76,27.28,0.79,3.59,99.48
4/25/2025,6.05,87.1,27.59,0.79,3.43,99.46
4/26/2025,13.62,85.9,27.55,0.81,3.49,99.45
4/27/2025,16.02,87.73,27.37,0.82,2.58,99.5
4/28/2025,19.68,86.26,26.67,0.83,2.97,99.44
4/29/2025,8.24,83.57,27.4,0.81,3.02,99.4
4/30/2025,18.53,88.08,27.05,0.83,4.45,99.52
5/1/2025,5.28,83.57,27.41,0.82,3.24,99.54
5/2/2025,4.44,85.52,27.65,0.81,2.89,99.58
5/3/2025,4.59,87.93,27.27,0.81,3.38,99.52
5/4/2025,4.35,86.45,27.7,0.81,2.7,99.42
5/5/2025,12.43,89.08,27.7,0.82,3.13,99.42
5/6/2025,10.05,86.37,27.61,0.83,3.31,99.53
5/7/2025,12.26,87.75,26.83,0.83,4.53,99.54
5/8/2025,8.72,81.11,27.43,0.83,2.8,99.51
5/9/2025,4.68,85.42,27.84,0.83,3.02,99.48
5/10/2025,2.21,85.15,27.9,0.82,3.79,99.5
5/11/2025,1.31,83.43,27.64,0.81,4.13,99.46
5/12/2025,2.63,85.31,27.98,0.81,4.84,99.36
5/13/2025,3.44,85.26,28.13,0.81,6.02,99.33
5/14/2025,3.53,85.82,27.95,0.81,5.2,99.42
5/15/2025,5.25,78.05,27.82,0.81,2.72,99.46
5/16/2025,5.55,84.66,27.91,0.81,4.29,99.4
5/17/2025,16.31,86.75,27.41,0.83,3.3,99.42
5/18/2025,16.57,87.32,27.64,0.84,3.64,99.29
5/19/2025,10.15,89.03,27.43,0.83,6.3,99.25
5/20/2025,7.14,86.58,27.73,0.83,6.1,99.28
5/21/2025,3.53,85.93,27.52,0.82,5.53,99.38
5/22/2025,1.82,84.82,27.95,0.81,4.96,99.39
5/23/2025,7.39,87.7,27.76,0.82,5.1,99.27
5/24/2025,16.98,87.6,26.96,0.84,5.39,99.38
5/25/2025,12.46,88.06,27.34,0.84,5.17,99.48
5/26/2025,9.08,89.22,27.52,0.84,5.92,99.49
5/27/2025,19.94,89.3,27.28,0.86,6.99,99.44
5/28/2025,15.14,90.15,27.65,0.86,7.43,99.38
5/29/2025,15.56,89,27.51,0.86,7.39,99.45
5/30/2025,8.57,85.12,27.33,0.86,8.57,99.5
5/31/2025,12.78,87.1,26.86,0.86,6.86,99.62
6/1/2025,3.56,89.21,27.21,0.85,5.73,99.64
6/2/2025,0.96,88.95,27.25,0.85,4.84,99.6
6/3/2025,0.88,89.45,27.2,0.85,4.83,99.6
6/4/2025,3.4,89.36,27.11,0.85,4.73,99.61
6/5/2025,2.27,88.55,27.34,0.84,4.39,99.58
6/6/2025,0.46,89.66,27.34,0.83,4.68,99.58
6/7/2025,0.08,88.12,27.16,0.82,5.24,99.62
6/8/2025,0.02,85.02,27.31,0.82,5.39,99.57
6/9/2025,0.47,86.51,27.19,0.81,6.14,99.48
6/10/2025,13.24,88.86,27.15,0.83,7.06,99.3
6/11/2025,13.23,86.93,26.48,0.84,8.03,99.27
6/12/2025,3.84,86.04,27.12,0.82,7.08,99.25
6/13/2025,10.19,89.68,27.08,0.83,7.2,99.39
6/14/2025,22.41,86.34,26.44,0.85,6.98,99.56
6/15/2025,8.98,86.38,26.54,0.84,6.55,99.51
6/16/2025,11.59,86.98,26.62,0.84,5.36,99.53
6/17/2025,4.7,87.44,26.72,0.84,3.81,99.62
6/18/2025,1.53,89.62,26.46,0.83,4.19,99.6
6/19/2025,3.47,88.8,26.84,0.83,5.01,99.59
6/20/2025,2.93,90.03,26.66,0.83,4.84,99.63
6/21/2025,2.22,90.56,26.77,0.82,4.94,99.61
6/22/2025,1.52,89.83,26.71,0.82,5.3,99.61
6/23/2025,1.48,83.14,26.84,0.82,4.66,99.61
6/24/2025,0.91,89.63,26.7,0.81,5.08,99.5
6/25/2025,2.09,90.16,26.92,0.81,5.31,99.46
6/26/2025,7.62,88.92,26.83,0.82,5.56,99.52
6/27/2025,3.06,84.84,26.65,0.81,4.42,99.54
6/28/2025,2.29,89.21,26.62,0.81,4.43,99.54
6/29/2025,0.68,86.7,26.81,0.8,4.62,99.51
6/30/2025,0.16,87.9,26.94,0.8,4.13,99.46
7/1/2025,0.18,89.22,26.87,0.8,4.81,99.5
7/2/2025,0.18,88.1,26.86,0.79,5.41,99.49
7/3/2025,0.49,87.91,26.73,0.79,4.8,99.57
7/4/2025,0.69,87.09,26.98,0.78,4.46,99.62
7/5/2025,0.46,88.84,27.02,0.78,4.89,99.6
7/6/2025,0.91,88.29,26.76,0.78,5.04,99.56
7/7/2025,0.25,88.04,26.87,0.77,5.23,99.53
7/8/2025,0.24,88.51,27.02,0.77,5.01,99.56
7/9/2025,0.4,89.71,27.09,0.77,5.06,99.52
7/10/2025,0.68,90.03,27.02,0.76,5.15,99.41
7/11/2025,0.45,89.8,27.03,0.76,6.99,99.38
7/12/2025,0.49,89.02,26.9,0.76,6.71,99.5
7/13/2025,0.45,88.46,26.32,0.75,6.15,99.54
7/14/2025,0.35,87.42,26.45,0.75,6.51,99.58
7/15/2025,1.56,85.96,26.83,0.74,5.98,99.47
7/16/2025,3.62,87.65,26.06,0.75,6.38,99.42
7/17/2025,5.5,87.31,26.27,0.75,6.51,99.42
7/18/2025,5.37,87.33,26.17,0.76,6.83,99.42
7/19/2025,4.72,88.09,25.95,0.75,8.05,99.32
7/20/2025,4.59,88.48,25.46,0.75,6.29,99.31
7/21/2025,11.31,89.84,25.83,0.77,6.36,99.4
7/22/2025,4.79,91.57,26.07,0.76,5.75,99.47
7/23/2025,9.71,89.47,25.92,0.77,6.32,99.42
7/24/2025,4.96,91.86,25.97,0.77,5.76,99.42
7/25/2025,2.49,89.35,25.89,0.76,4.95,99.47
7/26/2025,6.52,89.7,25.37,0.77,4.71,99.62
7/27/2025,1.53,88.37,25.49,0.75,4.23,99.64
7/28/2025,0.34,87.13,26.12,0.74,4.54,99.57
7/29/2025,0.4,88.64,26.33,0.73,6.45,99.55
7/30/2025,0.43,89,26.38,0.73,5.41,99.53
7/31/2025,0.1,90.98,26.21,0.73,5.09,99.43
8/1/2025,8.43,90.59,25.97,0.74,4.74,99.39
8/2/2025,10.63,90.47,25.59,0.76,4.47,99.43
8/3/2025,14.38,89.96,25.24,0.77,5.53,99.52
8/4/2025,1.7,86.44,25.56,0.75,4.83,99.5
8/5/2025,0.67,88.88,25.7,0.73,6.01,99.5
8/6/2025,0.21,88.22,25.8,0.72,5.19,99.45
8/7/2025,0.47,91.03,25.65,0.73,4.85,99.39
8/8/2025,0.6,90.4,25.91,0.73,4.66,99.48
8/9/2025,1.77,89.03,25.91,0.73,4.41,99.67
8/10/2025,1.41,89.91,25.91,0.72,4.79,99.65
8/11/2025,3.23,89.46,25.82,0.73,4.23,99.66
8/12/2025,5.75,84.87,25.58,0.73,5.92,99.59
8/13/2025,0.68,87.41,25.97,0.72,5.26,99.48
8/14/2025,1.84,89.45,26.11,0.72,5.15,99.5
8/15/2025,2.9,87.48,26.26,0.72,5.91,99.43
8/16/2025,2.67,88.88,26.11,0.72,6.39,99.31
8/17/2025,5.4,89.47,26.31,0.73,6,99.36
