Date,Rainfall_mm,Humidity_pct,Temperature_C,Soil_Moisture,Wind_Speed_ms,Atmospheric_Pressure_kPa
1/1/2004,0.34,74.34,26.73,0.55,5.59,99.75
1/2/2004,0.02,72.01,26.62,0.55,5.74,99.77
1/3/2004,0,69.07,26.36,0.54,6.15,99.81
1/4/2004,0.02,71.96,26.73,0.53,4.96,99.8
1/5/2004,0.23,75.46,26.7,0.53,5.17,99.82
1/6/2004,0.16,72.98,26.74,0.53,5.46,99.78
1/7/2004,0.26,73.25,27.14,0.52,6.28,99.75
1/8/2004,0.37,74.68,26.59,0.52,7.61,99.8
1/9/2004,2.36,76.89,26.76,0.51,7.32,99.76
1/10/2004,5.13,78.7,26.75,0.51,7.55,99.75
1/11/2004,1.86,75.23,26.53,0.51,7.31,99.77
1/12/2004,0.02,73,26.81,0.51,5.43,99.78
1/13/2004,0.59,72.86,26.92,0.5,6.43,99.67
1/14/2004,0.15,72.45,27.31,0.5,5.62,99.57
1/15/2004,0.08,72.52,27.55,0.5,4.72,99.62
1/16/2004,0.01,71.38,27.42,0.49,5.26,99.74
1/17/2004,0,68.07,27.19,0.49,4.72,99.68
1/18/2004,0,67.72,26.79,0.48,4.29,99.67
1/19/2004,0,61.64,26.88,0.48,3.55,99.61
1/20/2004,0,62.84,27.12,0.48,3.21,99.57
1/21/2004,0,64.08,27.29,0.47,2.6,99.48
1/22/2004,0.02,66.49,27.57,0.47,2.78,99.47
1/23/2004,0.91,71.36,27.56,0.47,3.1,99.47
1/24/2004,5.25,76.17,27.56,0.47,3.37,99.37
1/25/2004,4.02,77.46,27.57,0.47,3.11,99.49
1/26/2004,1.3,77.33,26.83,0.47,2.51,99.62
1/27/2004,0.66,73.7,27.56,0.47,1.67,99.53
1/28/2004,0.87,68.06,28.02,0.47,2.16,99.45
1/29/2004,0.32,66.26,27.87,0.46,2.71,99.49
1/30/2004,0,64.33,27.87,0.46,3.88,99.53
1/31/2004,0.04,64.46,27.89,0.46,3.12,99.53
2/1/2004,0.04,68.87,27.82,0.45,1.63,99.42
2/2/2004,0.1,69.45,27.5,0.45,2.18,99.48
2/3/2004,0.97,69.1,28.45,0.45,3.65,99.52
2/4/2004,0.53,72.98,27.86,0.45,4.52,99.56
2/5/2004,0.19,70.31,28.34,0.44,4.25,99.6
2/6/2004,0.21,66.8,28.65,0.44,2.88,99.71
2/7/2004,3.09,68.14,28.35,0.44,1.71,99.9
2/8/2004,4.92,70.71,27.69,0.44,2.41,99.92
2/9/2004,0.05,64.55,28.43,0.44,3.57,99.82
2/10/2004,0.23,63.91,28.23,0.44,4.36,99.84
2/11/2004,0.04,65.42,28.25,0.44,4.05,99.86
2/12/2004,0.17,67.41,28.52,0.43,4.33,99.81
2/13/2004,0.96,69.08,28.24,0.43,5.65,99.68
2/14/2004,0.72,68.1,27.91,0.43,6.79,99.61
2/15/2004,0.4,68.23,27.99,0.43,6.42,99.6
2/16/2004,0.02,63.39,28.25,0.42,6.27,99.65
2/17/2004,0,62.83,27.5,0.42,4.4,99.56
2/18/2004,0,63.07,27.19,0.42,4.17,99.55
2/19/2004,0,58.09,27.2,0.42,4.37,99.59
2/20/2004,0,57.8,27.03,0.42,4.84,99.65
2/21/2004,0.05,62.03,27.05,0.41,2.88,99.68
2/22/2004,4.8,67.79,28.02,0.41,3.04,99.59
2/23/2004,8.25,74.83,27.64,0.42,4.48,99.6
2/24/2004,0.16,64.83,27.78,0.42,4.52,99.69
2/25/2004,0,58.65,27.2,0.42,3.37,99.73
2/26/2004,0,61.29,27.26,0.41,2.74,99.67
2/27/2004,0.48,67.2,27.72,0.41,2.5,99.62
2/28/2004,0.03,57.69,28.15,0.41,3.48,99.59
2/29/2004,0,57.9,27.26,0.41,2.93,99.57
3/1/2004,0,61.37,26.42,0.41,2.01,99.6
3/2/2004,0,60.55,27.45,0.4,1.8,99.49
3/3/2004,0.03,65.08,27.69,0.4,2.19,99.55
3/4/2004,0.14,69.47,27.43,0.4,2.63,99.6
3/5/2004,0.27,67.42,28.11,0.4,2.03,99.55
3/6/2004,0.34,65.28,28.9,0.4,2.49,99.55
3/7/2004,0.04,60.09,28.79,0.4,2.66,99.57
3/8/2004,0.92,64.23,29.02,0.4,2.54,99.73
3/9/2004,1.15,69.31,28.24,0.4,5.29,99.68
3/10/2004,0.48,67.02,28.81,0.4,4.84,99.5
3/11/2004,0.09,64.07,29.29,0.39,3.39,99.53
3/12/2004,0.07,65.31,29.04,0.39,3.23,99.62
3/13/2004,0.59,70.4,28.35,0.39,2.74,99.73
3/14/2004,1.26,64.22,29.46,0.39,3.17,99.65
3/15/2004,8.72,74.7,28.03,0.39,2.74,99.61
3/16/2004,2.31,75.93,27.83,0.4,2.43,99.56
3/17/2004,1.5,71.85,28.28,0.4,2.37,99.57
3/18/2004,1.16,70.03,28.76,0.4,2.44,99.54
3/19/2004,0.38,71.9,28.68,0.4,2.88,99.45
3/20/2004,0.08,70.24,28.74,0.4,3.26,99.37
3/21/2004,0.07,70.78,28.85,0.4,3.22,99.4
3/22/2004,0.5,69.55,28.61,0.4,3.29,99.52
3/23/2004,0.55,71.09,28.52,0.39,4.25,99.55
3/24/2004,2.02,74.42,28.39,0.39,4.58,99.5
3/25/2004,1.46,74.71,28.45,0.39,5.39,99.42
3/26/2004,0.48,72.68,28.61,0.39,4.45,99.42
3/27/2004,0.18,69.88,28.98,0.39,3.52,99.6
3/28/2004,0.07,70.14,28.94,0.39,3.2,99.66
3/29/2004,0.61,70.9,28.82,0.39,2.89,99.65
3/30/2004,2.86,81.49,27.53,0.39,3.41,99.65
3/31/2004,2.94,75.34,28.45,0.39,2.09,99.63
4/1/2004,14.49,84.08,26.73,0.4,2.97,99.77
4/2/2004,2.35,70.21,28.61,0.41,1.92,99.73
4/3/2004,6.51,74.48,28.46,0.41,2.37,99.75
4/4/2004,3.71,73.36,28.69,0.42,2.16,99.72
4/5/2004,4.82,79.24,27.37,0.42,2.06,99.67
4/6/2004,3.84,68.06,27.7,0.42,2.14,99.72
4/7/2004,6.23,82.24,26.7,0.42,2.5,99.72
4/8/2004,5.52,83.38,26.82,0.43,3.3,99.66
4/9/2004,2.62,78.04,27.86,0.43,2.68,99.5
4/10/2004,2.95,73.15,28.8,0.43,2.83,99.45
4/11/2004,2.49,73.75,29.12,0.44,2.06,99.53
4/12/2004,1.8,82.8,27.99,0.44,2.83,99.53
4/13/2004,9.78,85.16,27.29,0.44,4.12,99.49
4/14/2004,3.94,84.84,27.55,0.45,3.16,99.45
4/15/2004,0.76,82.78,27.94,0.45,3.96,99.48
4/16/2004,0.73,81.08,28.13,0.45,4.01,99.53
4/17/2004,1.29,81.04,28.12,0.45,3.76,99.45
4/18/2004,1.44,78.59,28.77,0.45,4.24,99.34
4/19/2004,0.08,72.8,28.96,0.44,3.8,99.38
4/20/2004,0.68,73.02,28.9,0.44,3.74,99.6
4/21/2004,1.21,74.95,28.66,0.44,3.34,99.54
4/22/2004,2.7,76.59,28.28,0.44,3.26,99.4
4/23/2004,4.76,76.14,28.46,0.44,2.68,99.37
4/24/2004,9.35,80.39,27.26,0.45,3.68,99.41
4/25/2004,5.12,73.31,28.8,0.45,1.74,99.33
4/26/2004,10.43,81.02,28.06,0.46,1.72,99.42
4/27/2004,6.64,85.08,27.54,0.47,3.31,99.47
4/28/2004,2.58,76.3,28.68,0.47,2.64,99.3
4/29/2004,4.71,77.5,28.85,0.47,3.2,99.16
4/30/2004,6.67,75.69,28.98,0.47,3.43,99.11
5/1/2004,6.78,79.98,28.17,0.48,2.93,99.09
5/2/2004,23.08,80.23,27.67,0.49,4.74,99.05
5/3/2004,18.33,84.4,26.88,0.52,5.81,99.05
5/4/2004,22.76,84.86,27.35,0.54,6.18,99.12
5/5/2004,9.18,81.42,27.71,0.55,6.49,99.19
5/6/2004,1,78.98,28.4,0.54,6.33,99.25
5/7/2004,3.67,79.76,28.19,0.54,5.84,99.33
5/8/2004,0.75,82.32,28.05,0.54,4.09,99.25
5/9/2004,2.13,80.67,28.19,0.54,4.44,99.28
5/10/2004,1.95,81.09,28.17,0.54,5.71,99.4
5/11/2004,1.04,81.21,28.11,0.53,6.12,99.44
5/12/2004,2.67,85.56,27.71,0.53,5.98,99.35
5/13/2004,2.07,87.37,27.76,0.53,6.39,99.28
5/14/2004,1.63,86.85,27.65,0.53,5.67,99.39
5/15/2004,7.67,84.73,27.4,0.53,6.65,99.41
